creative_id,campaign_id,creative_name,format,bitrate_kbps,duration_sec
CR-000054,CMP-018,CMP-018 Creative 3,VOD,13044,60
CR-000055,CMP-019,CMP-019 Creative 1,Live,12435,30
CR-000056,CMP-019,CMP-019 Creative 2,VOD,12397,30
CR-000057,CMP-019,CMP-019 Creative 3,Live,13301,60
CR-000058,CMP-020,CMP-020 Creative 1,VOD,12935,60
CR-000059,CMP-020,CMP-020 Creative 2,Live,6351,15
CR-000060,CMP-020,CMP-020 Creative 3,VOD,6209,15
CR-000061,CMP-021,CMP-021 Creative 1,Live,13269,15
CR-000062,CMP-021,CMP-021 Creative 2,VOD,5723,15
CR-000063,CMP-021,CMP-021 Creative 3,Live,8269,15
CR-000064,CMP-022,CMP-022 Creative 1,VOD,5517,60
CR-000065,CMP-022,CMP-022 Creative 2,Live,8363,15
CR-000066,CMP-022,CMP-022 Creative 3,VOD,12052,30
CR-000067,CMP-023,CMP-023 Creative 1,Live,9386,30
CR-000068,CMP-023,CMP-023 Creative 2,VOD,13181,15
CR-000069,CMP-023,CMP-023 Creative 3,Live,7071,15
CR-000070,CMP-024,CMP-024 Creative 1,VOD,13139,30
CR-000071,CMP-024,CMP-024 Creative 2,Live,7618,60
CR-000072,CMP-024,CMP-024 Creative 3,VOD,13012,60
CR-000073,CMP-025,CMP-025 Creative 1,Live,7820,15
CR-000074,CMP-025,CMP-025 Creative 2,VOD,9381,30
CR-000075,CMP-025,CMP-025 Creative 3,Live,9070,15
CR-000076,CMP-026,CMP-026 Creative 1,VOD,6105,30
CR-000077,CMP-026,CMP-026 Creative 2,Live,6882,60
CR-000078,CMP-026,CMP-026 Creative 3,VOD,14065,15
CR-000079,CMP-027,CMP-027 Creative 1,Live,9305,30
CR-000080,CMP-027,CMP-027 Creative 2,VOD,8248,15
CR-000081,CMP-027,CMP-027 Creative 3,Live,12266,30
CR-000082,CMP-028,CMP-028 Creative 1,VOD,5260,15
CR-000083,CMP-028,CMP-028 Creative 2,Live,6491,15
CR-000084,CMP-028,CMP-028 Creative 3,VOD,6352,15
CR-000085,CMP-029,CMP-029 Creative 1,Live,5818,60
CR-000086,CMP-029,CMP-029 Creative 2,VOD,11213,30
CR-000087,CMP-029,CMP-029 Creative 3,Live,12015,15
CR-000088,CMP-030,CMP-030 Creative 1,VOD,7415,15
CR-000089,CMP-030,CMP-030 Creative 2,Live,10340,30
CR-000090,CMP-030,CMP-030 Creative 3,VOD,14249,60
CR-000091,CMP-031,CMP-031 Creative 1,Live,8834,60
CR-000092,CMP-031,CMP-031 Creative 2,VOD,7488,60
CR-000093,CMP-031,CMP-031 Creative 3,Live,7159,30
CR-000094,CMP-032,CMP-032 Creative 1,VOD,5348,30
CR-000095,CMP-032,CMP-032 Creative 2,Live,5783,15
CR-000096,CMP-032,CMP-032 Creative 3,VOD,9117,30
CR-000097,CMP-033,CMP-033 Creative 1,Live,10963,30
CR-000098,CMP-033,CMP-033 Creative 2,VOD,11832,15
CR-000099,CMP-033,CMP-033 Creative 3,Live,7098,30
CR-000100,CMP-034,CMP-034 Creative 1,VOD,10823,60
CR-000101,CMP-034,CMP-034 Creative 2,Live,7202,30
CR-000102,CMP-034,CMP-034 Creative 3,VOD,14392,15
CR-000103,CMP-035,CMP-035 Creative 1,Live,8316,60
CR-000104,CMP-035,CMP-035 Creative 2,VOD,14050,15
CR-000105,CMP-035,CMP-035 Creative 3,Live,6999,30
CR-000106,CMP-036,CMP-036 Creative 1,VOD,11272,60
CR-000107,CMP-036,CMP-036 Creative 2,Live,7835,15
CR-000108,CMP-036,CMP-036 Creative 3,VOD,8393,15
CR-000109,CMP-037,CMP-037 Creative 1,Live,10529,60
CR-000110,CMP-037,CMP-037 Creative 2,VOD,13302,60
CR-000111,CMP-037,CMP-037 Creative 3,Live,9001,60
CR-000112,CMP-038,CMP-038 Creative 1,VOD,7237,30
CR-000113,CMP-038,CMP-038 Creative 2,Live,6603,30
CR-000114,CMP-038,CMP-038 Creative 3,VOD,8082,15
CR-000115,CMP-039,CMP-039 Creative 1,Live,14486,15
CR-000116,CMP-039,CMP-039 Creative 2,VOD,13798,30
CR-000117,CMP-039,CMP-039 Creative 3,Live,6782,15
CR-000118,CMP-040,CMP-040 Creative 1,VOD,5772,15
CR-000119,CMP-040,CMP-040 Creative 2,Live,14322,30
CR-000120,CMP-040,CMP-040 Creative 3,VOD,8037,30
CR-000121,CMP-041,CMP-041 Creative 1,Live,9934,15
CR-000122,CMP-041,CMP-041 Creative 2,VOD,7005,30
CR-000123,CMP-041,CMP-041 Creative 3,Live,9045,15
CR-000124,CMP-042,CMP-042 Creative 1,VOD,8757,30
CR-000125,CMP-042,CMP-042 Creative 2,Live,12742,60
CR-000126,CMP-042,CMP-042 Creative 3,VOD,12733,15
CR-000127,CMP-043,CMP-043 Creative 1,Live,6700,15
CR-000128,CMP-043,CMP-043 Creative 2,VOD,14001,15
CR-000129,CMP-043,CMP-043 Creative 3,Live,10445,30
CR-000130,CMP-044,CMP-044 Creative 1,VOD,14227,60
CR-000131,CMP-044,CMP-044 Creative 2,Live,11513,15
CR-000132,CMP-044,CMP-044 Creative 3,VOD,10312,15
CR-000133,CMP-045,CMP-045 Creative 1,Live,5864,60
CR-000134,CMP-045,CMP-045 Creative 2,VOD,10567,30
CR-000135,CMP-045,CMP-045 Creative 3,Live,7349,15
CR-000136,CMP-046,CMP-046 Creative 1,VOD,6668,15
CR-000137,CMP-046,CMP-046 Creative 2,Live,6846,30
CR-000138,CMP-046,CMP-046 Creative 3,VOD,13351,30
CR-000139,CMP-047,CMP-047 Creative 1,Live,7294,60
CR-000140,CMP-047,CMP-047 Creative 2,VOD,10359,30
CR-000141,CMP-047,CMP-047 Creative 3,Live,5575,15
CR-000142,CMP-048,CMP-048 Creative 1,VOD,10253,30
CR-000143,CMP-048,CMP-048 Creative 2,Live,12553,15
CR-000144,CMP-048,CMP-048 Creative 3,VOD,6733,30
CR-000145,CMP-049,CMP-049 Creative 1,Live,6809,15
CR-000146,CMP-049,CMP-049 Creative 2,VOD,8028,60
CR-000147,CMP-049,CMP-049 Creative 3,Live,6651,60
CR-000148,CMP-050,CMP-050 Creative 1,VOD,6891,30
CR-000149,CMP-050,CMP-050 Creative 2,Live,14017,30
CR-000150,CMP-050,CMP-050 Creative 3,VOD,9648,30
CR-000151,CMP-051,CMP-051 Creative 1,Live,10705,60
CR-000152,CMP-051,CMP-051 Creative 2,VOD,9182,60
CR-000153,CMP-051,CMP-051 Creative 3,Live,6118,60
CR-000154,CMP-052,CMP-052 Creative 1,VOD,10412,30
CR-000155,CMP-052,CMP-052 Creative 2,Live,5881,60
CR-000156,CMP-052,CMP-052 Creative 3,VOD,8098,30
CR-000157,CMP-053,CMP-053 Creative 1,Live,5474,60
CR-000158,CMP-053,CMP-053 Creative 2,VOD,13775,15
CR-000159,CMP-053,CMP-053 Creative 3,Live,9945,15
CR-000160,CMP-054,CMP-054 Creative 1,VOD,10053,60
CR-000161,CMP-054,CMP-054 Creative 2,Live,6051,60
CR-000162,CMP-054,CMP-054 Creative 3,VOD,6673,60
CR-000163,CMP-055,CMP-055 Creative 1,Live,5054,30
CR-000164,CMP-055,CMP-055 Creative 2,VOD,5403,15
CR-000165,CMP-055,CMP-055 Creative 3,Live,9308,30
CR-000166,CMP-056,CMP-056 Creative 1,VOD,13940,30
CR-000167,CMP-056,CMP-056 Creative 2,Live,14485,60
CR-000168,CMP-056,CMP-056 Creative 3,VOD,7088,15
CR-000169,CMP-057,CMP-057 Creative 1,Live,9793,15
CR-000170,CMP-057,CMP-057 Creative 2,VOD,9652,60
CR-000171,CMP-057,CMP-057 Creative 3,Live,6027,60
CR-000172,CMP-058,CMP-058 Creative 1,VOD,5375,30
CR-000173,CMP-058,CMP-058 Creative 2,Live,8813,30
CR-000174,CMP-058,CMP-058 Creative 3,VOD,5525,15
CR-000175,CMP-059,CMP-059 Creative 1,Live,14278,15
CR-000176,CMP-059,CMP-059 Creative 2,VOD,11370,30
CR-000177,CMP-059,CMP-059 Creative 3,Live,7354,15
CR-000178,CMP-060,CMP-060 Creative 1,VOD,5687,15
CR-000179,CMP-060,CMP-060 Creative 2,Live,9825,30
CR-000180,CMP-060,CMP-060 Creative 3,VOD,13639,30
CR-000181,CMP-061,CMP-061 Creative 1,Live,7536,15
CR-000182,CMP-061,CMP-061 Creative 2,VOD,8305,30
CR-000183,CMP-061,CMP-061 Creative 3,Live,5534,30
CR-000184,CMP-062,CMP-062 Creative 1,VOD,11257,30
CR-000185,CMP-062,CMP-062 Creative 2,Live,6628,30
CR-000186,CMP-062,CMP-062 Creative 3,VOD,7078,30
CR-000187,CMP-063,CMP-063 Creative 1,Live,12765,30
CR-000188,CMP-063,CMP-063 Creative 2,VOD,5381,30
CR-000189,CMP-063,CMP-063 Creative 3,Live,8778,15
CR-000190,CMP-064,CMP-064 Creative 1,VOD,11279,30
CR-000191,CMP-064,CMP-064 Creative 2,Live,11193,15
CR-000192,CMP-064,CMP-064 Creative 3,VOD,6006,15
CR-000193,CMP-065,CMP-065 Creative 1,Live,6833,15
CR-000194,CMP-065,CMP-065 Creative 2,VOD,5321,60
CR-000195,CMP-065,CMP-065 Creative 3,Live,12245,30
CR-000196,CMP-066,CMP-066 Creative 1,VOD,8695,15
CR-000197,CMP-066,CMP-066 Creative 2,Live,13170,15
CR-000198,CMP-066,CMP-066 Creative 3,VOD,5198,60
CR-000199,CMP-067,CMP-067 Creative 1,Live,6860,30
CR-000200,CMP-067,CMP-067 Creative 2,VOD,8532,30
CR-000201,CMP-067,CMP-067 Creative 3,Live,6601,15
CR-000202,CMP-068,CMP-068 Creative 1,VOD,6577,30
CR-000203,CMP-068,CMP-068 Creative 2,Live,7177,30
CR-000204,CMP-068,CMP-068 Creative 3,VOD,7029,30
CR-000205,CMP-069,CMP-069 Creative 1,Live,7763,15
CR-000206,CMP-069,CMP-069 Creative 2,VOD,9957,60
CR-000207,CMP-069,CMP-069 Creative 3,Live,10222,60
CR-000208,CMP-070,CMP-070 Creative 1,VOD,14429,30
CR-000209,CMP-070,CMP-070 Creative 2,Live,14237,15
CR-000210,CMP-070,CMP-070 Creative 3,VOD,9550,30
CR-000211,CMP-071,CMP-071 Creative 1,Live,7318,60
CR-000212,CMP-071,CMP-071 Creative 2,VOD,9017,60
CR-000213,CMP-071,CMP-071 Creative 3,Live,6443,15
CR-000214,CMP-072,CMP-072 Creative 1,VOD,6502,15
CR-000215,CMP-072,CMP-072 Creative 2,Live,14414,15
CR-000216,CMP-072,CMP-072 Creative 3,VOD,5082,60
CR-000217,CMP-073,CMP-073 Creative 1,Live,7540,30
CR-000218,CMP-073,CMP-073 Creative 2,VOD,9387,60
CR-000219,CMP-073,CMP-073 Creative 3,Live,9392,15
CR-000220,CMP-074,CMP-074 Creative 1,VOD,14200,15
CR-000221,CMP-074,CMP-074 Creative 2,Live,13560,30
CR-000222,CMP-074,CMP-074 Creative 3,VOD,10405,60
CR-000223,CMP-075,CMP-075 Creative 1,Live,8381,30
CR-000224,CMP-075,CMP-075 Creative 2,VOD,5596,30
CR-000225,CMP-075,CMP-075 Creative 3,Live,11436,15
CR-000226,CMP-076,CMP-076 Creative 1,VOD,8503,15
CR-000227,CMP-076,CMP-076 Creative 2,Live,9357,60
CR-000228,CMP-076,CMP-076 Creative 3,VOD,11220,60
CR-000229,CMP-077,CMP-077 Creative 1,Live,10845,60
CR-000230,CMP-077,CMP-077 Creative 2,VOD,11824,60
CR-000231,CMP-077,CMP-077 Creative 3,Live,12979,60
CR-000232,CMP-078,CMP-078 Creative 1,VOD,10890,60
CR-000233,CMP-078,CMP-078 Creative 2,Live,6622,30
CR-000234,CMP-078,CMP-078 Creative 3,VOD,14264,30
CR-000235,CMP-079,CMP-079 Creative 1,Live,11932,30
CR-000236,CMP-079,CMP-079 Creative 2,VOD,8984,15
CR-000237,CMP-079,CMP-079 Creative 3,Live,6817,60
CR-000238,CMP-080,CMP-080 Creative 1,VOD,5660,30
CR-000239,CMP-080,CMP-080 Creative 2,Live,12667,15
CR-000240,CMP-080,CMP-080 Creative 3,VOD,10234,30
CR-000241,CMP-081,CMP-081 Creative 1,Live,10303,30
CR-000242,CMP-081,CMP-081 Creative 2,VOD,5753,60
CR-000243,CMP-081,CMP-081 Creative 3,Live,5956,15
CR-000244,CMP-082,CMP-082 Creative 1,VOD,14005,15
CR-000245,CMP-082,CMP-082 Creative 2,Live,5609,15
CR-000246,CMP-082,CMP-082 Creative 3,VOD,9745,30
CR-000247,CMP-083,CMP-083 Creative 1,Live,9475,60
CR-000248,CMP-083,CMP-083 Creative 2,VOD,8589,30
CR-000249,CMP-083,CMP-083 Creative 3,Live,7472,60
CR-000250,CMP-084,CMP-084 Creative 1,VOD,12327,30
CR-000251,CMP-084,CMP-084 Creative 2,Live,5699,30
CR-000252,CMP-084,CMP-084 Creative 3,VOD,12670,30
CR-000253,CMP-085,CMP-085 Creative 1,Live,8208,60
CR-000254,CMP-085,CMP-085 Creative 2,VOD,9438,30
CR-000255,CMP-085,CMP-085 Creative 3,Live,5280,30
CR-000256,CMP-086,CMP-086 Creative 1,VOD,7013,30
CR-000257,CMP-086,CMP-086 Creative 2,Live,8523,60
CR-000258,CMP-086,CMP-086 Creative 3,VOD,6686,30
CR-000259,CMP-087,CMP-087 Creative 1,Live,14469,30
CR-000260,CMP-087,CMP-087 Creative 2,VOD,9454,60
CR-000261,CMP-087,CMP-087 Creative 3,Live,6232,15
CR-000262,CMP-088,CMP-088 Creative 1,VOD,8081,60
CR-000263,CMP-088,CMP-088 Creative 2,Live,9463,60
CR-000264,CMP-088,CMP-088 Creative 3,VOD,5583,30
CR-000265,CMP-089,CMP-089 Creative 1,Live,10488,15
CR-000266,CMP-089,CMP-089 Creative 2,VOD,7713,15
CR-000267,CMP-089,CMP-089 Creative 3,Live,14082,60
CR-000268,CMP-090,CMP-090 Creative 1,VOD,5444,60
CR-000269,CMP-090,CMP-090 Creative 2,Live,10572,30
CR-000270,CMP-090,CMP-090 Creative 3,VOD,6001,15
CR-000271,CMP-091,CMP-091 Creative 1,Live,11207,15
CR-000272,CMP-091,CMP-091 Creative 2,VOD,9706,30
CR-000273,CMP-091,CMP-091 Creative 3,Live,9763,30
CR-000274,CMP-092,CMP-092 Creative 1,VOD,7464,60
CR-000275,CMP-092,CMP-092 Creative 2,Live,11750,60
CR-000276,CMP-092,CMP-092 Creative 3,VOD,10519,60
CR-000277,CMP-093,CMP-093 Creative 1,Live,12507,15
CR-000278,CMP-093,CMP-093 Creative 2,VOD,6793,15
CR-000279,CMP-093,CMP-093 Creative 3,Live,5859,30
CR-000280,CMP-094,CMP-094 Creative 1,VOD,6741,30
CR-000281,CMP-094,CMP-094 Creative 2,Live,6853,30
CR-000282,CMP-094,CMP-094 Creative 3,VOD,12547,30
CR-000283,CMP-095,CMP-095 Creative 1,Live,10556,15
CR-000284,CMP-095,CMP-095 Creative 2,VOD,10530,60
CR-000285,CMP-095,CMP-095 Creative 3,Live,7368,30
CR-000286,CMP-096,CMP-096 Creative 1,VOD,10406,15
CR-000287,CMP-096,CMP-096 Creative 2,Live,12206,15
CR-000288,CMP-096,CMP-096 Creative 3,VOD,8650,15
CR-000289,CMP-097,CMP-097 Creative 1,Live,11984,60
CR-000290,CMP-097,CMP-097 Creative 2,VOD,11426,30
CR-000291,CMP-097,CMP-097 Creative 3,Live,8168,60
CR-000292,CMP-098,CMP-098 Creative 1,VOD,11502,30
CR-000293,CMP-098,CMP-098 Creative 2,Live,14033,15
CR-000294,CMP-098,CMP-098 Creative 3,VOD,8132,30
CR-000295,CMP-099,CMP-099 Creative 1,Live,11952,60
CR-000296,CMP-099,CMP-099 Creative 2,VOD,10417,60
CR-000297,CMP-099,CMP-099 Creative 3,Live,8524,30
CR-000298,CMP-100,CMP-100 Creative 1,VOD,7182,30
CR-000299,CMP-100,CMP-100 Creative 2,Live,10510,30
CR-000300,CMP-100,CMP-100 Creative 3,VOD,11402,15
CR-000301,CMP-101,CMP-101 Creative 1,Live,8400,30
CR-000302,CMP-101,CMP-101 Creative 2,VOD,11812,60
CR-000303,CMP-101,CMP-101 Creative 3,Live,5605,15
CR-000304,CMP-102,CMP-102 Creative 1,VOD,8467,30
CR-000305,CMP-102,CMP-102 Creative 2,Live,7484,60
CR-000306,CMP-102,CMP-102 Creative 3,VOD,11291,60
CR-000307,CMP-103,CMP-103 Creative 1,Live,6232,15
CR-000308,CMP-103,CMP-103 Creative 2,VOD,6693,30
CR-000309,CMP-103,CMP-103 Creative 3,Live,13795,30
CR-000310,CMP-104,CMP-104 Creative 1,VOD,12960,15
CR-000311,CMP-104,CMP-104 Creative 2,Live,5752,30
CR-000312,CMP-104,CMP-104 Creative 3,VOD,7755,30
CR-000313,CMP-105,CMP-105 Creative 1,Live,6936,60
CR-000314,CMP-105,CMP-105 Creative 2,VOD,13413,30
CR-000315,CMP-105,CMP-105 Creative 3,Live,13010,60
CR-000316,CMP-106,CMP-106 Creative 1,VOD,11091,30
CR-000317,CMP-106,CMP-106 Creative 2,Live,7799,60
CR-000318,CMP-106,CMP-106 Creative 3,VOD,7243,60
CR-000319,CMP-107,CMP-107 Creative 1,Live,10451,15
CR-000320,CMP-107,CMP-107 Creative 2,VOD,10451,60
CR-000321,CMP-107,CMP-107 Creative 3,Live,13406,60
CR-000322,CMP-108,CMP-108 Creative 1,VOD,8212,60
CR-000323,CMP-108,CMP-108 Creative 2,Live,7949,15
CR-000324,CMP-108,CMP-108 Creative 3,VOD,11180,60
CR-000325,CMP-109,CMP-109 Creative 1,Live,8516,15
CR-000326,CMP-109,CMP-109 Creative 2,VOD,5859,60
CR-000327,CMP-109,CMP-109 Creative 3,Live,10580,15
CR-000328,CMP-110,CMP-110 Creative 1,VOD,6140,30
CR-000329,CMP-110,CMP-110 Creative 2,Live,5185,60
CR-000330,CMP-110,CMP-110 Creative 3,VOD,7273,30
CR-000331,CMP-111,CMP-111 Creative 1,Live,12958,30
CR-000332,CMP-111,CMP-111 Creative 2,VOD,7312,15
CR-000333,CMP-111,CMP-111 Creative 3,Live,11737,15
CR-000334,CMP-112,CMP-112 Creative 1,VOD,17713,30
CR-000335,CMP-112,CMP-112 Creative 2,Live,11882,15
CR-000336,CMP-112,CMP-112 Creative 3,VOD,8839,30
CR-000337,CMP-113,CMP-113 Creative 1,Live,8581,60
CR-000338,CMP-113,CMP-113 Creative 2,VOD,14416,60
CR-000339,CMP-113,CMP-113 Creative 3,Live,10202,60
CR-000340,CMP-114,CMP-114 Creative 1,VOD,14347,30
CR-000341,CMP-114,CMP-114 Creative 2,Live,10551,30
CR-000342,CMP-114,CMP-114 Creative 3,VOD,11868,15
CR-000343,CMP-115,CMP-115 Creative 1,Live,5520,30
CR-000344,CMP-115,CMP-115 Creative 2,VOD,10316,30
CR-000345,CMP-115,CMP-115 Creative 3,Live,14023,60
CR-000346,CMP-116,CMP-116 Creative 1,VOD,10298,60
CR-000347,CMP-116,CMP-116 Creative 2,Live,11841,30
CR-000348,CMP-116,CMP-116 Creative 3,VOD,7358,15
CR-000349,CMP-117,CMP-117 Creative 1,Live,8599,60
CR-000350,CMP-117,CMP-117 Creative 2,VOD,14130,30
CR-000351,CMP-117,CMP-117 Creative 3,Live,6636,30
CR-000352,CMP-118,CMP-118 Creative 1,VOD,8004,30
CR-000353,CMP-118,CMP-118 Creative 2,Live,13577,60
CR-000354,CMP-118,CMP-118 Creative 3,VOD,11225,60
CR-000355,CMP-119,CMP-119 Creative 1,Live,11251,30
CR-000356,CMP-119,CMP-119 Creative 2,VOD,10158,15
CR-000357,CMP-119,CMP-119 Creative 3,Live,12472,15
CR-000358,CMP-120,CMP-120 Creative 1,VOD,8355,30
CR-000359,CMP-120,CMP-120 Creative 2,Live,8946,60
CR-000360,CMP-120,CMP-120 Creative 3,VOD,10057,60
CR-000361,CMP-121,CMP-121 Creative 1,Live,9065,30
CR-000362,CMP-121,CMP-121 Creative 2,VOD,13959,30
CR-000363,CMP-121,CMP-121 Creative 3,Live,8833,30
CR-000364,CMP-122,CMP-122 Creative 1,VOD,12464,60
CR-000365,CMP-122,CMP-122 Creative 2,Live,13914,15
CR-000366,CMP-122,CMP-122 Creative 3,VOD,5830,30
CR-000367,CMP-123,CMP-123 Creative 1,Live,10095,15
CR-000368,CMP-123,CMP-123 Creative 2,VOD,12613,15
CR-000369,CMP-123,CMP-123 Creative 3,Live,10765,60
CR-000370,CMP-124,CMP-124 Creative 1,VOD,12050,30
CR-000371,CMP-124,CMP-124 Creative 2,Live,13377,30
CR-000372,CMP-124,CMP-124 Creative 3,VOD,7423,30
CR-000373,CMP-125,CMP-125 Creative 1,Live,13652,15
CR-000374,CMP-125,CMP-125 Creative 2,VOD,13318,60
CR-000375,CMP-125,CMP-125 Creative 3,Live,6367,15
CR-000376,CMP-126,CMP-126 Creative 1,VOD,5501,30
CR-000377,CMP-126,CMP-126 Creative 2,Live,9390,15
CR-000378,CMP-126,CMP-126 Creative 3,VOD,12834,15
CR-000379,CMP-127,CMP-127 Creative 1,Live,6713,15
CR-000380,CMP-127,CMP-127 Creative 2,VOD,5209,30
CR-000381,CMP-127,CMP-127 Creative 3,Live,7426,30
CR-000382,CMP-128,CMP-128 Creative 1,VOD,14325,15
CR-000383,CMP-128,CMP-128 Creative 2,Live,5705,30
CR-000384,CMP-128,CMP-128 Creative 3,VOD,10339,15
CR-000385,CMP-129,CMP-129 Creative 1,Live,9284,60
CR-000386,CMP-129,CMP-129 Creative 2,VOD,7544,60
CR-000387,CMP-129,CMP-129 Creative 3,Live,8991,15
CR-000388,CMP-130,CMP-130 Creative 1,VOD,14271,15
CR-000389,CMP-130,CMP-130 Creative 2,Live,9669,15
CR-000390,CMP-130,CMP-130 Creative 3,VOD,5189,60
CR-000391,CMP-131,CMP-131 Creative 1,Live,5202,30
CR-000392,CMP-131,CMP-131 Creative 2,VOD,5799,30
CR-000393,CMP-131,CMP-131 Creative 3,Live,13008,30
CR-000394,CMP-132,CMP-132 Creative 1,VOD,9837,30
CR-000395,CMP-132,CMP-132 Creative 2,Live,13703,30
CR-000396,CMP-132,CMP-132 Creative 3,VOD,5317,30
CR-000397,CMP-133,CMP-133 Creative 1,Live,6294,60
CR-000398,CMP-133,CMP-133 Creative 2,VOD,11331,30
CR-000399,CMP-133,CMP-133 Creative 3,Live,11514,30
CR-000400,CMP-134,CMP-134 Creative 1,VOD,13349,15
CR-000401,CMP-134,CMP-134 Creative 2,Live,6772,60
CR-000402,CMP-134,CMP-134 Creative 3,VOD,9538,30
CR-000403,CMP-135,CMP-135 Creative 1,Live,9049,60
CR-000404,CMP-135,CMP-135 Creative 2,VOD,6581,30
CR-000405,CMP-135,CMP-135 Creative 3,Live,10269,15
CR-000406,CMP-136,CMP-136 Creative 1,VOD,5120,15
CR-000407,CMP-136,CMP-136 Creative 2,Live,10576,30
CR-000408,CMP-136,CMP-136 Creative 3,VOD,9906,15
CR-000409,CMP-137,CMP-137 Creative 1,Live,8060,15
CR-000410,CMP-137,CMP-137 Creative 2,VOD,6598,30
CR-000411,CMP-137,CMP-137 Creative 3,Live,9617,15
CR-000412,CMP-138,CMP-138 Creative 1,VOD,11051,30
CR-000413,CMP-138,CMP-138 Creative 2,Live,9485,30
CR-000414,CMP-138,CMP-138 Creative 3,VOD,13707,60
CR-000415,CMP-139,CMP-139 Creative 1,Live,7546,15
CR-000416,CMP-139,CMP-139 Creative 2,VOD,9616,15
CR-000417,CMP-139,CMP-139 Creative 3,Live,5643,30
CR-000418,CMP-140,CMP-140 Creative 1,VOD,11895,60
CR-000419,CMP-140,CMP-140 Creative 2,Live,12991,60
CR-000420,CMP-140,CMP-140 Creative 3,VOD,5239,15
CR-000421,CMP-141,CMP-141 Creative 1,Live,6993,15
CR-000422,CMP-141,CMP-141 Creative 2,VOD,10160,15
CR-000423,CMP-141,CMP-141 Creative 3,Live,10560,30
CR-000424,CMP-142,CMP-142 Creative 1,VOD,13737,60
CR-000425,CMP-142,CMP-142 Creative 2,Live,12590,60
CR-000426,CMP-142,CMP-142 Creative 3,VOD,14428,60
CR-000427,CMP-143,CMP-143 Creative 1,Live,9228,60
CR-000428,CMP-143,CMP-143 Creative 2,VOD,11156,30
